type_id, subtype_id, start_time, end_time, duration, interest_rate 
1, 10, '1970-1-01 00:00:00', , 1, 2.004
2, 6, '1970-1-01 00:00:00', , 36, 2.234
2, 5, '1970-1-01 00:00:00', , 24, 2.114
2, 4, '1970-1-01 00:00:00', , 12, 2.054
2, 3, '1970-1-01 00:00:00', , 9, 2.007
2, 2, '1970-1-01 00:00:00', , 6, 2.006
2, 1, '1970-1-01 00:00:00', , 3, 2.005
3, 9, '1970-1-01 00:00:00', , 1, 2.170
3, 8, '1970-1-01 00:00:00', , 1, 1.217
3, 7, '1970-1-01 00:00:00', , 1, 0.264
1, 10, '1970-1-01 00:00:00', , 1, 2.004
2, 6, '1970-1-01 00:00:00', , 36, 2.234
2, 5, '1970-1-01 00:00:00', , 24, 2.114
2, 4, '1970-1-01 00:00:00', , 12, 2.054
2, 3, '1970-1-01 00:00:00', , 9, 2.007
2, 2, '1970-1-01 00:00:00', , 6, 2.006
2, 1, '1970-1-01 00:00:00', , 3, 2.005
3, 9, '1970-1-01 00:00:00', , 1, 2.170
3, 8, '1970-1-01 00:00:00', , 1, 1.217
3, 7, '1970-1-01 00:00:00', , 1, 0.264
1, 10, '1970-1-01 00:00:00', , 1, 2.004
2, 6, '1970-1-01 00:00:00', , 36, 2.234
2, 5, '1970-1-01 00:00:00', , 24, 2.114
2, 4, '1970-1-01 00:00:00', , 12, 2.054
2, 3, '1970-1-01 00:00:00', , 9, 2.007
2, 2, '1970-1-01 00:00:00', , 6, 2.006
2, 1, '1970-1-01 00:00:00', , 3, 2.005
3, 9, '1970-1-01 00:00:00', , 1, 2.170
3, 8, '1970-1-01 00:00:00', , 1, 1.217
3, 7, '1970-1-01 00:00:00', , 1, 0.264
1, 10, '1970-2-01 00:00:00', , 1, 1.995
2, 6, '1970-2-01 00:00:00', , 36, 2.225
2, 5, '1970-2-01 00:00:00', , 24, 2.105
2, 4, '1970-2-01 00:00:00', , 12, 2.045
2, 3, '1970-2-01 00:00:00', , 9, 1.998
2, 2, '1970-2-01 00:00:00', , 6, 1.997
2, 1, '1970-2-01 00:00:00', , 3, 1.996
3, 9, '1970-2-01 00:00:00', , 1, 0.747
3, 8, '1970-2-01 00:00:00', , 1, 0.535
3, 7, '1970-2-01 00:00:00', , 1, 0.324
1, 10, '1970-2-01 00:00:00', , 1, 1.995
2, 6, '1970-2-01 00:00:00', , 36, 2.225
2, 5, '1970-2-01 00:00:00', , 24, 2.105
2, 4, '1970-2-01 00:00:00', , 12, 2.045
2, 3, '1970-2-01 00:00:00', , 9, 1.998
2, 2, '1970-2-01 00:00:00', , 6, 1.997
2, 1, '1970-2-01 00:00:00', , 3, 1.996
3, 9, '1970-2-01 00:00:00', , 1, 0.747
3, 8, '1970-2-01 00:00:00', , 1, 0.535
3, 7, '1970-2-01 00:00:00', , 1, 0.324
1, 10, '1970-2-01 00:00:00', , 1, 1.995
2, 6, '1970-2-01 00:00:00', , 36, 2.225
2, 5, '1970-2-01 00:00:00', , 24, 2.105
2, 4, '1970-2-01 00:00:00', , 12, 2.045
2, 3, '1970-2-01 00:00:00', , 9, 1.998
2, 2, '1970-2-01 00:00:00', , 6, 1.997
2, 1, '1970-2-01 00:00:00', , 3, 1.996
3, 9, '1970-2-01 00:00:00', , 1, 0.747
3, 8, '1970-2-01 00:00:00', , 1, 0.535
3, 7, '1970-2-01 00:00:00', , 1, 0.324
1, 10, '1970-3-01 00:00:00', , 1, 2.004
2, 6, '1970-3-01 00:00:00', , 36, 2.234
2, 5, '1970-3-01 00:00:00', , 24, 2.114
2, 4, '1970-3-01 00:00:00', , 12, 2.054
2, 3, '1970-3-01 00:00:00', , 9, 2.007
2, 2, '1970-3-01 00:00:00', , 6, 2.006
2, 1, '1970-3-01 00:00:00', , 3, 2.005
3, 9, '1970-3-01 00:00:00', , 1, 1.267
3, 8, '1970-3-01 00:00:00', , 1, 0.622
3, 7, '1970-3-01 00:00:00', , 1, -0.023
1, 10, '1970-3-01 00:00:00', , 1, 2.004
2, 6, '1970-3-01 00:00:00', , 36, 2.234
2, 5, '1970-3-01 00:00:00', , 24, 2.114
2, 4, '1970-3-01 00:00:00', , 12, 2.054
2, 3, '1970-3-01 00:00:00', , 9, 2.007
2, 2, '1970-3-01 00:00:00', , 6, 2.006
2, 1, '1970-3-01 00:00:00', , 3, 2.005
3, 9, '1970-3-01 00:00:00', , 1, 1.267
3, 8, '1970-3-01 00:00:00', , 1, 0.622
3, 7, '1970-3-01 00:00:00', , 1, -0.023
1, 10, '1970-3-01 00:00:00', , 1, 2.004
2, 6, '1970-3-01 00:00:00', , 36, 2.234
2, 5, '1970-3-01 00:00:00', , 24, 2.114
2, 4, '1970-3-01 00:00:00', , 12, 2.054
2, 3, '1970-3-01 00:00:00', , 9, 2.007
2, 2, '1970-3-01 00:00:00', , 6, 2.006
2, 1, '1970-3-01 00:00:00', , 3, 2.005
3, 9, '1970-3-01 00:00:00', , 1, 1.267
3, 8, '1970-3-01 00:00:00', , 1, 0.622
3, 7, '1970-3-01 00:00:00', , 1, -0.023
1, 10, '1970-4-01 00:00:00', , 1, 2.014
2, 6, '1970-4-01 00:00:00', , 36, 2.244
2, 5, '1970-4-01 00:00:00', , 24, 2.124
2, 4, '1970-4-01 00:00:00', , 12, 2.064
2, 3, '1970-4-01 00:00:00', , 9, 2.017
2, 2, '1970-4-01 00:00:00', , 6, 2.016
2, 1, '1970-4-01 00:00:00', , 3, 2.015
3, 9, '1970-4-01 00:00:00', , 1, 1.663
3, 8, '1970-4-01 00:00:00', , 1, 1.135
3, 7, '1970-4-01 00:00:00', , 1, 0.607
1, 10, '1970-4-01 00:00:00', , 1, 2.014
2, 6, '1970-4-01 00:00:00', , 36, 2.244
2, 5, '1970-4-01 00:00:00', , 24, 2.124
2, 4, '1970-4-01 00:00:00', , 12, 2.064
2, 3, '1970-4-01 00:00:00', , 9, 2.017
2, 2, '1970-4-01 00:00:00', , 6, 2.016
2, 1, '1970-4-01 00:00:00', , 3, 2.015
3, 9, '1970-4-01 00:00:00', , 1, 1.663
3, 8, '1970-4-01 00:00:00', , 1, 1.135
3, 7, '1970-4-01 00:00:00', , 1, 0.607
1, 10, '1970-4-01 00:00:00', , 1, 2.014
2, 6, '1970-4-01 00:00:00', , 36, 2.244
2, 5, '1970-4-01 00:00:00', , 24, 2.124
2, 4, '1970-4-01 00:00:00', , 12, 2.064
2, 3, '1970-4-01 00:00:00', , 9, 2.017
2, 2, '1970-4-01 00:00:00', , 6, 2.016
2, 1, '1970-4-01 00:00:00', , 3, 2.015
3, 9, '1970-4-01 00:00:00', , 1, 1.663
3, 8, '1970-4-01 00:00:00', , 1, 1.135
3, 7, '1970-4-01 00:00:00', , 1, 0.607
1, 10, '1970-5-01 00:00:00', , 1, 2.020
2, 6, '1970-5-01 00:00:00', , 36, 2.250
2, 5, '1970-5-01 00:00:00', , 24, 2.130
2, 4, '1970-5-01 00:00:00', , 12, 2.070
2, 3, '1970-5-01 00:00:00', , 9, 2.023
2, 2, '1970-5-01 00:00:00', , 6, 2.022
2, 1, '1970-5-01 00:00:00', , 3, 2.021
3, 9, '1970-5-01 00:00:00', , 1, 0.778
3, 8, '1970-5-01 00:00:00', , 1, 0.406
3, 7, '1970-5-01 00:00:00', , 1, 0.034
1, 10, '1970-5-01 00:00:00', , 1, 2.020
2, 6, '1970-5-01 00:00:00', , 36, 2.250
2, 5, '1970-5-01 00:00:00', , 24, 2.130
2, 4, '1970-5-01 00:00:00', , 12, 2.070
2, 3, '1970-5-01 00:00:00', , 9, 2.023
2, 2, '1970-5-01 00:00:00', , 6, 2.022
2, 1, '1970-5-01 00:00:00', , 3, 2.021
3, 9, '1970-5-01 00:00:00', , 1, 0.778
3, 8, '1970-5-01 00:00:00', , 1, 0.406
3, 7, '1970-5-01 00:00:00', , 1, 0.034
1, 10, '1970-5-01 00:00:00', , 1, 2.020
2, 6, '1970-5-01 00:00:00', , 36, 2.250
2, 5, '1970-5-01 00:00:00', , 24, 2.130
2, 4, '1970-5-01 00:00:00', , 12, 2.070
2, 3, '1970-5-01 00:00:00', , 9, 2.023
2, 2, '1970-5-01 00:00:00', , 6, 2.022
2, 1, '1970-5-01 00:00:00', , 3, 2.021
3, 9, '1970-5-01 00:00:00', , 1, 0.778
3, 8, '1970-5-01 00:00:00', , 1, 0.406
3, 7, '1970-5-01 00:00:00', , 1, 0.034
1, 10, '1970-6-01 00:00:00', , 1, 2.001
2, 6, '1970-6-01 00:00:00', , 36, 2.231
2, 5, '1970-6-01 00:00:00', , 24, 2.111
2, 4, '1970-6-01 00:00:00', , 12, 2.051
2, 3, '1970-6-01 00:00:00', , 9, 2.004
2, 2, '1970-6-01 00:00:00', , 6, 2.003
2, 1, '1970-6-01 00:00:00', , 3, 2.002
3, 9, '1970-6-01 00:00:00', , 1, 1.165
3, 8, '1970-6-01 00:00:00', , 1, 0.679
3, 7, '1970-6-01 00:00:00', , 1, 0.193
1, 10, '1970-6-01 00:00:00', , 1, 2.001
2, 6, '1970-6-01 00:00:00', , 36, 2.231
2, 5, '1970-6-01 00:00:00', , 24, 2.111
2, 4, '1970-6-01 00:00:00', , 12, 2.051
2, 3, '1970-6-01 00:00:00', , 9, 2.004
2, 2, '1970-6-01 00:00:00', , 6, 2.003
2, 1, '1970-6-01 00:00:00', , 3, 2.002
3, 9, '1970-6-01 00:00:00', , 1, 1.165
3, 8, '1970-6-01 00:00:00', , 1, 0.679
3, 7, '1970-6-01 00:00:00', , 1, 0.193
1, 10, '1970-6-01 00:00:00', , 1, 2.001
2, 6, '1970-6-01 00:00:00', , 36, 2.231
